epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.17785,0.78313,0.3756,0.90854,0.996,0.99668,0.99494,0.83817,0.66148,0.30011,0.85995,0.00025,0.00025,0.00025
2,10.1116,0.77321,0.37243,0.90847,0.99568,0.99674,0.99492,0.83632,0.67963,0.30664,0.86595,0.00050899,0.00050899,0.00050899
3,14.8393,0.78322,0.3838,0.91361,0.97692,0.97988,0.99031,0.81767,0.72684,0.35466,0.88388,0.000766951,0.000766951,0.000766951
4,19.569,0.78224,0.39398,0.90587,0.98724,0.99056,0.99376,0.81896,0.73284,0.34354,0.88396,0.00099406,0.00099406,0.00099406
5,24.2559,0.79824,0.40442,0.90918,0.97693,0.98994,0.994,0.81111,0.75176,0.36761,0.8917,0.00099208,0.00099208,0.00099208
6,28.9546,0.80456,0.40392,0.91755,0.99232,0.98547,0.9932,0.79606,0.78181,0.37031,0.9037,0.0009901,0.0009901,0.0009901
7,33.6791,0.79003,0.39904,0.9158,0.99281,0.99512,0.99308,0.80803,0.74266,0.34886,0.89164,0.00098812,0.00098812,0.00098812
8,38.4428,0.79537,0.4078,0.91107,0.99036,0.99581,0.99219,0.81706,0.74177,0.33478,0.88793,0.00098614,0.00098614,0.00098614
9,43.1586,0.78987,0.40354,0.90759,0.99213,0.99166,0.99209,0.80542,0.77311,0.35395,0.89786,0.00098416,0.00098416,0.00098416
10,47.8805,0.77146,0.39263,0.90465,0.98166,0.98556,0.99202,0.78188,0.85554,0.37755,0.93692,0.00098218,0.00098218,0.00098218
11,52.5797,0.79046,0.39519,0.91369,0.98574,0.99336,0.99385,0.80462,0.77675,0.35449,0.90146,0.0009802,0.0009802,0.0009802
12,57.272,0.78554,0.39075,0.90366,0.98844,0.99432,0.99427,0.79949,0.81901,0.35829,0.91155,0.00097822,0.00097822,0.00097822
13,61.971,0.78661,0.39512,0.9055,0.98928,0.9902,0.99386,0.80414,0.77529,0.35093,0.90297,0.00097624,0.00097624,0.00097624
14,66.6929,0.78634,0.39922,0.91525,0.95661,0.94181,0.9787,0.75882,0.90441,0.45809,0.96033,0.00097426,0.00097426,0.00097426
15,71.4231,0.78646,0.40422,0.90693,0.98175,0.9885,0.9932,0.80531,0.79684,0.36633,0.91264,0.00097228,0.00097228,0.00097228
16,76.1431,0.76385,0.38285,0.89876,0.9839,0.97724,0.99354,0.78601,0.84258,0.3756,0.92292,0.0009703,0.0009703,0.0009703
