epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.40479,0.75497,0.36296,0.90732,0.99867,0.99698,0.995,0.85312,0.62538,0.28842,0.83953,0.00025,0.00025,0.00025
2,10.3997,0.77128,0.36828,0.91524,0.9967,0.99744,0.995,0.84927,0.63968,0.30689,0.84272,0.00050899,0.00050899,0.00050899
3,15.2931,0.78497,0.38521,0.9146,0.99656,0.99326,0.9949,0.83669,0.69104,0.33809,0.86162,0.000766951,0.000766951,0.000766951
4,20.1448,0.79261,0.39173,0.91211,0.99155,0.99605,0.99481,0.81768,0.74847,0.3433,0.88026,0.00099406,0.00099406,0.00099406
5,24.9727,0.79041,0.40122,0.90954,0.98739,0.99483,0.99445,0.81379,0.74738,0.3515,0.87153,0.00099208,0.00099208,0.00099208
6,29.8355,0.78719,0.40248,0.90848,0.98997,0.99635,0.99488,0.81732,0.75038,0.34656,0.87541,0.0009901,0.0009901,0.0009901
7,34.6383,0.79519,0.40814,0.91737,0.99466,0.99323,0.9948,0.81865,0.73942,0.34517,0.87435,0.00098812,0.00098812,0.00098812
8,39.4884,0.79337,0.41531,0.9188,0.98379,0.97198,0.991,0.78563,0.84402,0.37947,0.91029,0.00098614,0.00098614,0.00098614
9,44.3335,0.79131,0.40753,0.91733,0.98746,0.99723,0.99484,0.81821,0.7605,0.33586,0.87604,0.00098416,0.00098416,0.00098416
10,49.5963,0.8062,0.40233,0.91478,0.99239,0.99401,0.99323,0.8168,0.75734,0.34657,0.87236,0.00098218,0.00098218,0.00098218
11,55.1343,0.79166,0.39743,0.91056,0.99527,0.99821,0.995,0.82245,0.7498,0.34013,0.87574,0.0009802,0.0009802,0.0009802
12,60.9918,0.78737,0.40538,0.90725,0.9738,0.95287,0.9877,0.7752,0.88885,0.41827,0.92791,0.00097822,0.00097822,0.00097822
13,65.8107,0.7829,0.39099,0.90834,0.99619,0.99598,0.99448,0.81653,0.74924,0.33566,0.87315,0.00097624,0.00097624,0.00097624
14,70.599,0.76851,0.39398,0.91187,0.99328,0.99658,0.99497,0.81635,0.7477,0.33854,0.87628,0.00097426,0.00097426,0.00097426
15,75.3391,0.78628,0.40455,0.91307,0.99435,0.98903,0.99493,0.80871,0.79218,0.35326,0.89087,0.00097228,0.00097228,0.00097228
16,80.0536,0.76474,0.3954,0.90148,0.98775,0.99241,0.99451,0.81039,0.78724,0.35135,0.89317,0.0009703,0.0009703,0.0009703
17,84.854,0.76801,0.39714,0.90459,0.95439,0.9377,0.98008,0.78258,0.80587,0.41328,0.89906,0.00096832,0.00096832,0.00096832
18,89.8153,0.77509,0.40016,0.90623,0.99546,0.99279,0.99483,0.80512,0.8003,0.3464,0.89506,0.00096634,0.00096634,0.00096634
19,95.3406,0.76214,0.38618,0.90169,0.99547,0.98281,0.99444,0.80824,0.76782,0.34094,0.88361,0.00096436,0.00096436,0.00096436
20,100.091,0.75978,0.38978,0.90334,0.99083,0.99424,0.99486,0.8101,0.78659,0.34588,0.88263,0.00096238,0.00096238,0.00096238
21,104.807,0.77524,0.39288,0.90971,0.98593,0.98308,0.99374,0.7931,0.82712,0.37204,0.89732,0.0009604,0.0009604,0.0009604
22,109.556,0.76285,0.38302,0.90414,0.99344,0.99134,0.99483,0.81418,0.79073,0.34726,0.89958,0.00095842,0.00095842,0.00095842
23,114.997,0.76345,0.38072,0.90197,0.99495,0.99515,0.9949,0.80738,0.80744,0.34334,0.90495,0.00095644,0.00095644,0.00095644
24,121.404,0.7693,0.3848,0.89973,0.98025,0.96986,0.99226,0.79993,0.80544,0.39275,0.89697,0.00095446,0.00095446,0.00095446
25,127.098,0.75658,0.38222,0.9062,0.99548,0.99473,0.99495,0.80893,0.76909,0.34013,0.88694,0.00095248,0.00095248,0.00095248
26,131.937,0.7764,0.38862,0.90921,0.99598,0.99733,0.9949,0.81001,0.7991,0.34085,0.8906,0.0009505,0.0009505,0.0009505
27,137.221,0.76177,0.38263,0.9042,0.99381,0.99153,0.99478,0.79959,0.8233,0.35253,0.89907,0.00094852,0.00094852,0.00094852
28,143.23,0.75692,0.38309,0.89958,0.98708,0.98365,0.99265,0.79107,0.83252,0.35759,0.90218,0.00094654,0.00094654,0.00094654
29,152.058,0.75502,0.38052,0.89805,0.98762,0.99669,0.99456,0.81058,0.78388,0.34249,0.89142,0.00094456,0.00094456,0.00094456
30,158.095,0.75259,0.38422,0.90123,0.97913,0.98451,0.9911,0.80636,0.80699,0.36346,0.89382,0.00094258,0.00094258,0.00094258
31,162.907,0.74633,0.39366,0.89868,0.99038,0.99581,0.99479,0.80626,0.80952,0.35683,0.89878,0.0009406,0.0009406,0.0009406
32,168.638,0.72669,0.36952,0.89246,0.99623,0.98544,0.99473,0.80812,0.80911,0.34309,0.89136,0.00093862,0.00093862,0.00093862
33,174.978,0.73086,0.37572,0.89425,0.99439,0.99348,0.99489,0.80497,0.81381,0.34237,0.89754,0.00093664,0.00093664,0.00093664
34,181.181,0.74417,0.37535,0.90381,0.99504,0.98265,0.99339,0.8007,0.82601,0.35029,0.90454,0.00093466,0.00093466,0.00093466
35,188.615,0.73041,0.37303,0.89052,0.99647,0.99274,0.9947,0.80978,0.80994,0.33927,0.89858,0.00093268,0.00093268,0.00093268
36,194.008,0.73325,0.36558,0.88985,0.99485,0.98655,0.99448,0.80621,0.80001,0.34601,0.89625,0.0009307,0.0009307,0.0009307
37,201.035,0.74095,0.36798,0.90016,0.99406,0.98817,0.99362,0.80558,0.81298,0.34285,0.89586,0.00092872,0.00092872,0.00092872
38,206.634,0.73783,0.37634,0.89129,0.98545,0.99333,0.99482,0.80712,0.80401,0.35107,0.89344,0.00092674,0.00092674,0.00092674
39,212.009,0.73191,0.37444,0.88611,0.98766,0.99839,0.99459,0.81221,0.78422,0.33023,0.88665,0.00092476,0.00092476,0.00092476
40,217.481,0.73234,0.37693,0.89243,0.99021,0.99575,0.9947,0.80483,0.80615,0.34115,0.89384,0.00092278,0.00092278,0.00092278
41,222.883,0.73329,0.37313,0.88882,0.99287,0.99768,0.99497,0.80661,0.78411,0.3393,0.88506,0.0009208,0.0009208,0.0009208
42,228.538,0.72902,0.37048,0.89566,0.9925,0.99837,0.99465,0.81008,0.79989,0.34068,0.89272,0.00091882,0.00091882,0.00091882
43,233.914,0.70994,0.37233,0.88021,0.99583,0.98498,0.99434,0.81149,0.79287,0.34398,0.89061,0.00091684,0.00091684,0.00091684
44,239.384,0.71306,0.36884,0.88895,0.99421,0.99086,0.99385,0.81381,0.78457,0.33583,0.8884,0.00091486,0.00091486,0.00091486
45,244.783,0.71126,0.36053,0.87941,0.98337,0.9911,0.99257,0.7996,0.80823,0.35922,0.89542,0.00091288,0.00091288,0.00091288
46,250.199,0.70735,0.36096,0.88276,0.99704,0.99481,0.99351,0.81366,0.79402,0.32843,0.88807,0.0009109,0.0009109,0.0009109
47,255.555,0.70379,0.36068,0.8815,0.99454,0.99939,0.99322,0.81458,0.79512,0.33309,0.89356,0.00090892,0.00090892,0.00090892
48,260.938,0.70531,0.36945,0.8845,0.99482,0.99467,0.99436,0.79819,0.81763,0.34518,0.89977,0.00090694,0.00090694,0.00090694
49,266.313,0.70531,0.36407,0.87818,0.99686,0.98785,0.99333,0.79529,0.80609,0.34876,0.89368,0.00090496,0.00090496,0.00090496
50,271.735,0.70199,0.36294,0.88352,0.99539,0.98869,0.99366,0.79517,0.82718,0.35218,0.89535,0.00090298,0.00090298,0.00090298
51,277.141,0.70305,0.35516,0.87362,0.99254,0.99516,0.99403,0.80663,0.8113,0.33549,0.89647,0.000901,0.000901,0.000901
52,281.844,0.70288,0.35767,0.87486,0.99622,0.99576,0.99492,0.81108,0.79894,0.33236,0.89063,0.00089902,0.00089902,0.00089902
53,286.524,0.69539,0.3526,0.87913,0.99406,0.97715,0.9918,0.79963,0.82619,0.35213,0.89906,0.00089704,0.00089704,0.00089704
54,291.213,0.70219,0.35487,0.88397,0.99698,0.99612,0.9946,0.80497,0.80284,0.32984,0.89501,0.00089506,0.00089506,0.00089506
55,295.885,0.69047,0.35116,0.87901,0.99183,0.98169,0.9937,0.8043,0.82519,0.3409,0.90427,0.00089308,0.00089308,0.00089308
56,300.583,0.69838,0.35192,0.88142,0.9884,0.99299,0.99472,0.81004,0.81249,0.32932,0.89638,0.0008911,0.0008911,0.0008911
57,305.266,0.6808,0.34799,0.87108,0.99155,0.99482,0.99388,0.79326,0.84882,0.34213,0.91279,0.00088912,0.00088912,0.00088912
58,309.991,0.6793,0.35292,0.87369,0.9936,0.99396,0.99487,0.80493,0.7893,0.33452,0.89472,0.00088714,0.00088714,0.00088714
59,314.694,0.68467,0.35355,0.87731,0.97639,0.9739,0.99213,0.79507,0.82584,0.35969,0.91067,0.00088516,0.00088516,0.00088516
60,319.388,0.68627,0.35479,0.88301,0.98935,0.99449,0.99232,0.80706,0.80266,0.33676,0.89235,0.00088318,0.00088318,0.00088318
61,324.093,0.69233,0.3552,0.88291,0.98491,0.97168,0.99341,0.78021,0.86736,0.36213,0.91786,0.0008812,0.0008812,0.0008812
62,328.789,0.68221,0.35864,0.88035,0.99382,0.99505,0.99382,0.79283,0.83099,0.34034,0.90273,0.00087922,0.00087922,0.00087922
63,333.459,0.68114,0.34669,0.87317,0.99281,0.99332,0.99342,0.79807,0.82705,0.33932,0.89852,0.00087724,0.00087724,0.00087724
64,338.148,0.6723,0.34067,0.87992,0.99687,0.99278,0.99361,0.79563,0.82287,0.33363,0.89799,0.00087526,0.00087526,0.00087526
65,342.833,0.6898,0.35168,0.87065,0.99075,0.99609,0.99406,0.80269,0.82837,0.33394,0.89512,0.00087328,0.00087328,0.00087328
66,347.539,0.68462,0.35204,0.8764,0.99419,0.99548,0.99339,0.79921,0.8153,0.33749,0.8948,0.0008713,0.0008713,0.0008713
67,352.228,0.67234,0.34603,0.87203,0.99009,0.99369,0.99401,0.79097,0.82961,0.33943,0.90679,0.00086932,0.00086932,0.00086932
68,356.925,0.684,0.35424,0.87678,0.9845,0.98274,0.99284,0.79323,0.83596,0.3508,0.90138,0.00086734,0.00086734,0.00086734
69,361.636,0.66783,0.34248,0.87614,0.99479,0.99397,0.99493,0.79997,0.82546,0.3247,0.89901,0.00086536,0.00086536,0.00086536
70,366.338,0.66692,0.34931,0.87231,0.99451,0.99742,0.99498,0.80198,0.81865,0.33308,0.89632,0.00086338,0.00086338,0.00086338
71,371.045,0.65248,0.34122,0.86821,0.99446,0.98955,0.99326,0.79489,0.83873,0.34643,0.90894,0.0008614,0.0008614,0.0008614
72,375.773,0.67195,0.34919,0.87583,0.99214,0.98496,0.99344,0.7973,0.82563,0.33988,0.9044,0.00085942,0.00085942,0.00085942
73,380.46,0.66791,0.34418,0.86657,0.99833,0.99489,0.99493,0.79822,0.82825,0.34176,0.90694,0.00085744,0.00085744,0.00085744
74,385.143,0.68579,0.35012,0.87554,0.99474,0.98996,0.99384,0.80082,0.80665,0.33057,0.89929,0.00085546,0.00085546,0.00085546
75,389.807,0.66972,0.34168,0.87019,0.99074,0.99082,0.9942,0.79896,0.83272,0.34099,0.90751,0.00085348,0.00085348,0.00085348
76,394.499,0.65423,0.34415,0.8684,0.99288,0.99564,0.9948,0.79714,0.83288,0.33529,0.9091,0.0008515,0.0008515,0.0008515
77,399.191,0.65611,0.34738,0.86954,0.99592,0.99044,0.99482,0.79905,0.83225,0.33702,0.91132,0.00084952,0.00084952,0.00084952
78,403.9,0.64978,0.33819,0.86818,0.99015,0.99967,0.99455,0.79982,0.82344,0.33625,0.90542,0.00084754,0.00084754,0.00084754
79,408.587,0.64719,0.3328,0.86943,0.99643,0.99599,0.99498,0.80639,0.81271,0.33394,0.90176,0.00084556,0.00084556,0.00084556
80,413.298,0.64751,0.32991,0.86694,0.99149,0.99801,0.99485,0.80619,0.81754,0.32803,0.89761,0.00084358,0.00084358,0.00084358
81,418.013,0.6603,0.34236,0.86795,0.99737,0.99601,0.99439,0.80373,0.82963,0.33369,0.90448,0.0008416,0.0008416,0.0008416
82,422.724,0.66246,0.34076,0.86908,0.98868,0.99761,0.99411,0.78977,0.84062,0.34028,0.91066,0.00083962,0.00083962,0.00083962
83,427.432,0.65785,0.33596,0.85838,0.99782,0.99331,0.995,0.80341,0.81989,0.32991,0.90406,0.00083764,0.00083764,0.00083764
84,432.136,0.65297,0.33304,0.86805,0.98805,0.99384,0.99485,0.79152,0.83996,0.3369,0.91669,0.00083566,0.00083566,0.00083566
85,436.826,0.62808,0.32497,0.86071,0.99241,0.99272,0.99327,0.7976,0.8229,0.33788,0.90806,0.00083368,0.00083368,0.00083368
86,441.541,0.63662,0.32907,0.8654,0.99493,0.99299,0.995,0.79935,0.82407,0.32638,0.90898,0.0008317,0.0008317,0.0008317
87,446.246,0.63005,0.32688,0.85866,0.99364,0.9885,0.99457,0.78934,0.85687,0.34566,0.92274,0.00082972,0.00082972,0.00082972
88,450.951,0.6373,0.33107,0.86389,0.99158,0.98244,0.99392,0.79271,0.85081,0.34193,0.91922,0.00082774,0.00082774,0.00082774
89,455.625,0.64152,0.33514,0.86462,0.99029,0.99566,0.99486,0.79109,0.84725,0.34088,0.91586,0.00082576,0.00082576,0.00082576
90,460.313,0.6378,0.33561,0.86646,0.98996,0.98155,0.99124,0.79283,0.84809,0.35227,0.91678,0.00082378,0.00082378,0.00082378
91,464.992,0.63286,0.33206,0.8598,0.99634,0.99011,0.99481,0.80753,0.83355,0.33068,0.91107,0.0008218,0.0008218,0.0008218
92,469.704,0.61613,0.32329,0.85456,0.99767,0.99731,0.995,0.80571,0.8317,0.33193,0.90907,0.00081982,0.00081982,0.00081982
93,474.396,0.61877,0.32147,0.85617,0.99468,0.9941,0.99485,0.79782,0.82989,0.32944,0.90856,0.00081784,0.00081784,0.00081784
94,479.104,0.62018,0.33166,0.86272,0.99336,0.98973,0.99394,0.78816,0.86131,0.34929,0.92719,0.00081586,0.00081586,0.00081586
95,483.825,0.63239,0.33319,0.85922,0.99239,0.99176,0.99444,0.79246,0.84292,0.34535,0.91375,0.00081388,0.00081388,0.00081388
96,488.528,0.65146,0.34292,0.86739,0.99279,0.99456,0.99397,0.79462,0.84205,0.33759,0.91581,0.0008119,0.0008119,0.0008119
97,493.226,0.61444,0.32676,0.85991,0.98924,0.99326,0.99452,0.79579,0.82615,0.33165,0.91247,0.00080992,0.00080992,0.00080992
