epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.631,0.91044,0.47194,0.95753,0.9825,0.9552,0.98652,0.7427,0.96827,0.44168,0.94954,0.00091882,0.00091882,0.00091882
43,207.42,0.91259,0.46853,0.95334,0.98469,0.9663,0.98947,0.73561,0.98142,0.44137,0.9586,0.00091684,0.00091684,0.00091684
44,212.162,0.90796,0.46624,0.95497,0.95473,0.94472,0.9796,0.72221,1.02983,0.49475,0.97916,0.00091486,0.00091486,0.00091486
45,216.896,0.91683,0.46895,0.96135,0.96539,0.95018,0.98274,0.72285,1.02,0.46755,0.97159,0.00091288,0.00091288,0.00091288
46,221.615,0.9151,0.45721,0.96375,0.97532,0.98965,0.99177,0.74887,0.96179,0.41302,0.95705,0.0009109,0.0009109,0.0009109
47,226.376,0.89618,0.45166,0.95214,0.98985,0.97732,0.99204,0.7452,0.9725,0.42466,0.95742,0.00090892,0.00090892,0.00090892
48,231.118,0.89956,0.45085,0.9541,0.97232,0.98589,0.9925,0.74528,0.97254,0.42084,0.95672,0.00090694,0.00090694,0.00090694
49,235.957,0.91656,0.45272,0.96336,0.98486,0.97904,0.99166,0.74736,0.96719,0.4265,0.96114,0.00090496,0.00090496,0.00090496
50,241.001,0.90592,0.45741,0.95341,0.98053,0.98366,0.99338,0.74202,0.96462,0.42782,0.94807,0.00090298,0.00090298,0.00090298
51,245.941,0.8865,0.45151,0.94195,0.97844,0.96705,0.99082,0.73252,1.01557,0.4434,0.96775,0.000901,0.000901,0.000901
52,250.857,0.88367,0.43292,0.94703,0.97178,0.97985,0.98893,0.74443,1.00208,0.42964,0.97758,0.00089902,0.00089902,0.00089902
53,256.088,0.87885,0.44221,0.94806,0.95742,0.96011,0.98776,0.75094,0.96063,0.44485,0.95093,0.00089704,0.00089704,0.00089704
54,263.725,0.88468,0.45548,0.94889,0.95635,0.94864,0.98391,0.74365,0.95319,0.49322,0.94652,0.00089506,0.00089506,0.00089506
55,274.152,0.88399,0.46078,0.95732,0.96472,0.95773,0.98574,0.74116,0.973,0.44393,0.96715,0.00089308,0.00089308,0.00089308
56,284.644,0.87878,0.45378,0.95649,0.98094,0.97359,0.99009,0.74528,0.95914,0.4299,0.95386,0.0008911,0.0008911,0.0008911
57,295.29,0.8773,0.44576,0.94558,0.97581,0.97785,0.98907,0.73934,0.9763,0.43095,0.96259,0.00088912,0.00088912,0.00088912
58,306.413,0.87291,0.43897,0.94832,0.94757,0.9703,0.98808,0.71669,1.05488,0.46828,0.99092,0.00088714,0.00088714,0.00088714
59,316.601,0.85452,0.44403,0.93696,0.98333,0.96772,0.98741,0.73686,0.96889,0.42692,0.95638,0.00088516,0.00088516,0.00088516
60,329.064,0.86709,0.43414,0.94501,0.96039,0.96476,0.9888,0.74035,0.98399,0.44097,0.95971,0.00088318,0.00088318,0.00088318
61,340.085,0.86522,0.44116,0.93619,0.97459,0.96755,0.98915,0.73117,1.01063,0.44228,0.97061,0.0008812,0.0008812,0.0008812
62,351.816,0.85788,0.42726,0.93516,0.96997,0.97122,0.98866,0.74515,0.96145,0.44313,0.95643,0.00087922,0.00087922,0.00087922
63,359.596,0.87353,0.42839,0.94392,0.98125,0.96734,0.98696,0.74581,0.96156,0.43031,0.95927,0.00087724,0.00087724,0.00087724
64,365.149,0.84844,0.42515,0.9375,0.9751,0.96851,0.99148,0.7433,0.99355,0.41981,0.9597,0.00087526,0.00087526,0.00087526
65,369.885,0.83775,0.41861,0.92713,0.97695,0.97552,0.99064,0.74047,0.99213,0.43625,0.97061,0.00087328,0.00087328,0.00087328
66,374.652,0.85417,0.42241,0.93933,0.96994,0.96052,0.98732,0.73815,0.98161,0.43864,0.96754,0.0008713,0.0008713,0.0008713
67,379.44,0.86083,0.42605,0.94329,0.98626,0.95805,0.99111,0.73484,1.0039,0.41717,0.96853,0.00086932,0.00086932,0.00086932
68,384.207,0.85513,0.42316,0.93907,0.97488,0.96255,0.98866,0.75176,0.95084,0.41475,0.95669,0.00086734,0.00086734,0.00086734
69,388.932,0.8315,0.40973,0.92646,0.96898,0.97052,0.98749,0.74133,0.96763,0.42117,0.95594,0.00086536,0.00086536,0.00086536
70,393.658,0.85245,0.43366,0.93541,0.96896,0.95468,0.98179,0.74053,0.96914,0.44103,0.9556,0.00086338,0.00086338,0.00086338
71,398.361,0.84755,0.42642,0.93825,0.9744,0.97527,0.99177,0.75025,0.96199,0.41375,0.95933,0.0008614,0.0008614,0.0008614
72,403.13,0.83559,0.41936,0.92948,0.95906,0.96423,0.98936,0.74465,0.97374,0.45131,0.96071,0.00085942,0.00085942,0.00085942
73,407.85,0.82502,0.41415,0.92397,0.95965,0.96669,0.98298,0.74398,0.95566,0.43044,0.95586,0.00085744,0.00085744,0.00085744
74,412.64,0.83216,0.41603,0.93481,0.98378,0.97609,0.99154,0.74873,0.95603,0.40188,0.96206,0.00085546,0.00085546,0.00085546
75,417.364,0.83036,0.41187,0.9246,0.96675,0.97272,0.9874,0.74482,0.95928,0.42046,0.9574,0.00085348,0.00085348,0.00085348
76,422.108,0.81515,0.40342,0.91898,0.97211,0.97066,0.9869,0.7423,0.95855,0.41746,0.95031,0.0008515,0.0008515,0.0008515
77,426.864,0.83052,0.41514,0.92538,0.97668,0.97112,0.98633,0.74239,0.95433,0.42005,0.95216,0.00084952,0.00084952,0.00084952
78,431.627,0.82426,0.40974,0.92601,0.9763,0.96083,0.98829,0.74975,0.95276,0.41846,0.95486,0.00084754,0.00084754,0.00084754
79,436.399,0.79871,0.40772,0.93132,0.9704,0.97681,0.98702,0.74516,0.95014,0.4116,0.95809,0.00084556,0.00084556,0.00084556
80,441.206,0.82775,0.4139,0.93495,0.97423,0.97067,0.98408,0.73823,0.98019,0.44138,0.97032,0.00084358,0.00084358,0.00084358
81,445.899,0.85249,0.42729,0.93916,0.97623,0.96611,0.9899,0.74029,1.00123,0.43066,0.9723,0.0008416,0.0008416,0.0008416
82,450.656,0.82365,0.40871,0.9214,0.97431,0.98156,0.99017,0.74571,0.97759,0.41655,0.95831,0.00083962,0.00083962,0.00083962
83,455.376,0.81787,0.40776,0.92657,0.95317,0.96932,0.98575,0.74584,0.9524,0.43557,0.95204,0.00083764,0.00083764,0.00083764
84,460.103,0.8144,0.40534,0.92043,0.96391,0.96242,0.98599,0.73822,0.96892,0.42557,0.95842,0.00083566,0.00083566,0.00083566
85,464.852,0.80728,0.40188,0.92453,0.98349,0.96519,0.98951,0.74891,0.95479,0.40249,0.95182,0.00083368,0.00083368,0.00083368
86,469.576,0.79614,0.40666,0.91206,0.95835,0.96558,0.98383,0.73347,0.97222,0.43392,0.95956,0.0008317,0.0008317,0.0008317
87,474.278,0.81037,0.41006,0.92051,0.98751,0.96496,0.98888,0.73937,0.98649,0.42456,0.96085,0.00082972,0.00082972,0.00082972
88,479.022,0.79653,0.40175,0.91921,0.94968,0.98554,0.98993,0.75259,0.96206,0.42815,0.95701,0.00082774,0.00082774,0.00082774
