epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,196.905,0.73096,0.37482,0.8944,0.98456,0.9931,0.99338,0.8042,0.8386,0.35293,0.92499,0.00091882,0.00091882,0.00091882
43,201.572,0.71631,0.36686,0.88524,0.99126,0.98262,0.99329,0.807,0.81651,0.35852,0.92019,0.00091684,0.00091684,0.00091684
44,206.223,0.7254,0.36998,0.88542,0.98447,0.98783,0.99417,0.79905,0.85714,0.36563,0.9328,0.00091486,0.00091486,0.00091486
45,210.896,0.70231,0.36295,0.8773,0.99325,0.99169,0.99463,0.80465,0.84883,0.3472,0.92945,0.00091288,0.00091288,0.00091288
46,215.581,0.69281,0.35289,0.87938,0.99539,0.99299,0.99466,0.8039,0.85443,0.34519,0.92922,0.0009109,0.0009109,0.0009109
47,220.244,0.7073,0.3537,0.88221,0.99633,0.99345,0.99483,0.80605,0.8188,0.35067,0.91692,0.00090892,0.00090892,0.00090892
48,224.917,0.69571,0.35442,0.87805,0.97661,0.9452,0.97606,0.75159,0.99845,0.47783,0.99979,0.00090694,0.00090694,0.00090694
49,229.574,0.7068,0.3576,0.88418,0.98834,0.98466,0.99444,0.78594,0.91536,0.38131,0.96376,0.00090496,0.00090496,0.00090496
50,234.256,0.71291,0.36478,0.89086,0.99121,0.99295,0.99328,0.81177,0.84306,0.35744,0.93259,0.00090298,0.00090298,0.00090298
51,238.956,0.7033,0.36111,0.87373,0.98848,0.9947,0.99375,0.80316,0.85735,0.35607,0.9413,0.000901,0.000901,0.000901
52,244.283,0.69449,0.35713,0.87797,0.98504,0.98617,0.99054,0.78904,0.907,0.37726,0.95719,0.00089902,0.00089902,0.00089902
53,249.001,0.69522,0.35244,0.88143,0.98714,0.98545,0.9918,0.78662,0.89186,0.38132,0.94779,0.00089704,0.00089704,0.00089704
54,253.697,0.68504,0.35115,0.87646,0.99272,0.98226,0.99261,0.8011,0.85141,0.35715,0.93219,0.00089506,0.00089506,0.00089506
55,258.374,0.69981,0.35164,0.88693,0.98951,0.99557,0.99439,0.80871,0.8453,0.34824,0.93657,0.00089308,0.00089308,0.00089308
56,263.041,0.69431,0.3543,0.8799,0.99368,0.99423,0.99414,0.79391,0.86648,0.35664,0.93538,0.0008911,0.0008911,0.0008911
57,267.682,0.69898,0.35666,0.87502,0.99554,0.99228,0.99389,0.80573,0.83336,0.34428,0.92764,0.00088912,0.00088912,0.00088912
58,272.348,0.68381,0.34563,0.87424,0.99324,0.98829,0.99206,0.78288,0.91841,0.38542,0.95765,0.00088714,0.00088714,0.00088714
59,277.026,0.68,0.34534,0.87583,0.99506,0.99,0.99297,0.80774,0.84766,0.35822,0.93334,0.00088516,0.00088516,0.00088516
60,281.746,0.67488,0.34542,0.87647,0.99559,0.99242,0.99466,0.79972,0.86896,0.35324,0.94528,0.00088318,0.00088318,0.00088318
61,286.425,0.70427,0.34987,0.88066,0.99661,0.99686,0.995,0.79864,0.84595,0.33958,0.93492,0.0008812,0.0008812,0.0008812
62,291.115,0.68609,0.35618,0.87313,0.99162,0.99517,0.99401,0.80088,0.85514,0.34844,0.94056,0.00087922,0.00087922,0.00087922
63,295.827,0.67367,0.34257,0.86698,0.99604,0.99352,0.99442,0.79859,0.84398,0.33933,0.94186,0.00087724,0.00087724,0.00087724
64,300.506,0.65589,0.33472,0.87337,0.99438,0.99311,0.99427,0.80658,0.838,0.33932,0.93607,0.00087526,0.00087526,0.00087526
65,305.234,0.67025,0.3442,0.86902,0.99601,0.99492,0.99461,0.80403,0.83783,0.34007,0.93663,0.00087328,0.00087328,0.00087328
66,309.909,0.65705,0.34017,0.86526,0.9949,0.99492,0.99454,0.79987,0.86483,0.35087,0.94343,0.0008713,0.0008713,0.0008713
67,314.591,0.67664,0.35001,0.8741,0.99294,0.99112,0.99227,0.79422,0.84222,0.34668,0.94041,0.00086932,0.00086932,0.00086932
68,319.27,0.67929,0.34917,0.87687,0.99747,0.99091,0.99423,0.79786,0.86926,0.35464,0.95745,0.00086734,0.00086734,0.00086734
69,323.939,0.68384,0.35288,0.87775,0.99352,0.98755,0.99248,0.78616,0.91624,0.36626,0.96475,0.00086536,0.00086536,0.00086536
70,328.64,0.67466,0.35158,0.8761,0.99734,0.98999,0.99151,0.80024,0.84494,0.34107,0.94648,0.00086338,0.00086338,0.00086338
71,333.317,0.64759,0.33557,0.86701,0.99701,0.9939,0.99466,0.78843,0.90173,0.36138,0.96415,0.0008614,0.0008614,0.0008614
72,337.961,0.66684,0.34229,0.86807,0.9964,0.99578,0.99488,0.79661,0.87678,0.34804,0.94949,0.00085942,0.00085942,0.00085942
73,342.695,0.64724,0.33103,0.86614,0.99446,0.9927,0.99475,0.80567,0.85715,0.33867,0.94524,0.00085744,0.00085744,0.00085744
74,347.415,0.66783,0.34009,0.87434,0.98975,0.99361,0.99484,0.79889,0.85312,0.34208,0.94643,0.00085546,0.00085546,0.00085546
