epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05821,0.75582,0.35993,0.90417,0.99664,0.99948,0.995,0.85984,0.62121,0.28636,0.83963,0.00025,0.00025,0.00025
2,9.97865,0.74443,0.36361,0.89169,0.99286,0.99528,0.99472,0.83794,0.69403,0.31477,0.85283,0.00050899,0.00050899,0.00050899
3,14.7427,0.77701,0.37776,0.90294,0.99667,1,0.995,0.83521,0.72056,0.32717,0.8639,0.000766951,0.000766951,0.000766951
4,19.4453,0.79074,0.39768,0.9054,0.99366,0.99291,0.99465,0.83147,0.71756,0.32979,0.8626,0.00099406,0.00099406,0.00099406
5,24.1161,0.77899,0.39619,0.90499,0.99248,0.99328,0.99451,0.81896,0.76569,0.34485,0.87996,0.00099208,0.00099208,0.00099208
6,28.8399,0.7876,0.40219,0.91779,0.9836,0.97849,0.99143,0.79046,0.78775,0.37713,0.88959,0.0009901,0.0009901,0.0009901
7,33.5801,0.7851,0.39613,0.91255,0.98152,0.98083,0.9926,0.82067,0.73102,0.35079,0.87244,0.00098812,0.00098812,0.00098812
8,38.3053,0.79923,0.40535,0.91476,0.97824,0.97285,0.99036,0.79567,0.80829,0.38464,0.90063,0.00098614,0.00098614,0.00098614
9,43.0303,0.78464,0.40038,0.90978,0.96703,0.98539,0.99158,0.78604,0.84451,0.3822,0.906,0.00098416,0.00098416,0.00098416
10,47.7163,0.79897,0.40741,0.91207,0.97948,0.98713,0.99377,0.80349,0.78687,0.35787,0.89136,0.00098218,0.00098218,0.00098218
11,52.3824,0.78868,0.40053,0.91605,0.99007,0.99474,0.99484,0.81872,0.75072,0.34836,0.87627,0.0009802,0.0009802,0.0009802
12,57.0683,0.78642,0.39291,0.90639,0.97248,0.97757,0.98944,0.78547,0.83894,0.38791,0.90402,0.00097822,0.00097822,0.00097822
13,61.7983,0.7882,0.39908,0.90461,0.98766,0.98882,0.99362,0.80847,0.81524,0.35504,0.89392,0.00097624,0.00097624,0.00097624
14,66.5222,0.77295,0.38898,0.90124,0.99109,0.98724,0.99361,0.81265,0.77544,0.34481,0.8855,0.00097426,0.00097426,0.00097426
15,71.2261,0.76516,0.39102,0.90205,0.9912,0.98938,0.99463,0.8135,0.77782,0.34514,0.88388,0.00097228,0.00097228,0.00097228
16,75.9323,0.75945,0.3891,0.89159,0.99141,0.99429,0.99466,0.81418,0.7785,0.32844,0.88777,0.0009703,0.0009703,0.0009703
17,80.61,0.77767,0.39471,0.90797,0.97964,0.98655,0.99118,0.80548,0.79911,0.34964,0.89279,0.00096832,0.00096832,0.00096832
18,85.3199,0.77152,0.386,0.90285,0.98822,0.99561,0.99462,0.81458,0.78795,0.34148,0.89102,0.00096634,0.00096634,0.00096634
19,90.0278,0.77066,0.38646,0.90604,0.97642,0.99297,0.99282,0.80171,0.80682,0.35715,0.89535,0.00096436,0.00096436,0.00096436
20,94.744,0.77156,0.3845,0.90799,0.9851,0.9914,0.99438,0.79977,0.80609,0.35234,0.90006,0.00096238,0.00096238,0.00096238
21,99.4597,0.76747,0.3897,0.90423,0.97555,0.94362,0.98389,0.78514,0.87753,0.4204,0.92337,0.0009604,0.0009604,0.0009604
22,104.162,0.75722,0.38288,0.90443,0.9794,0.98593,0.99424,0.80668,0.81082,0.36305,0.89162,0.00095842,0.00095842,0.00095842
23,108.881,0.75147,0.37983,0.89665,0.98543,0.98539,0.99346,0.81339,0.79189,0.35377,0.88869,0.00095644,0.00095644,0.00095644
24,113.59,0.74032,0.37467,0.89005,0.98504,0.99216,0.99297,0.81088,0.80028,0.35154,0.8934,0.00095446,0.00095446,0.00095446
25,118.277,0.74243,0.37072,0.89493,0.97939,0.99124,0.99314,0.80658,0.79093,0.35568,0.89,0.00095248,0.00095248,0.00095248
26,123.028,0.75964,0.38393,0.89416,0.99073,0.98603,0.99375,0.79571,0.80273,0.34721,0.89344,0.0009505,0.0009505,0.0009505
27,127.758,0.74486,0.37939,0.89467,0.97873,0.95915,0.9925,0.79032,0.83391,0.37848,0.90332,0.00094852,0.00094852,0.00094852
28,132.468,0.75286,0.38327,0.89458,0.98843,0.98033,0.99299,0.79767,0.8195,0.35896,0.89991,0.00094654,0.00094654,0.00094654
29,137.17,0.756,0.37848,0.89362,0.97858,0.97515,0.98867,0.77344,0.89053,0.3842,0.92552,0.00094456,0.00094456,0.00094456
30,141.905,0.7481,0.38767,0.89223,0.98348,0.98146,0.99031,0.78933,0.85087,0.37815,0.90312,0.00094258,0.00094258,0.00094258
31,146.631,0.73301,0.37737,0.88942,0.97898,0.9854,0.98937,0.79356,0.82329,0.36711,0.90139,0.0009406,0.0009406,0.0009406
32,151.38,0.72891,0.37125,0.88482,0.98042,0.99476,0.99399,0.79757,0.82349,0.35081,0.90084,0.00093862,0.00093862,0.00093862
33,156.104,0.74847,0.36994,0.89508,0.98394,0.98586,0.99366,0.79282,0.84693,0.36316,0.90725,0.00093664,0.00093664,0.00093664
34,160.845,0.74967,0.37479,0.90265,0.98647,0.98974,0.99453,0.80264,0.84919,0.35642,0.91238,0.00093466,0.00093466,0.00093466
